iter	Passed	Remaining
0	1	149
1	3	160
2	4	139
3	5	128
4	6	125
5	7	122
6	9	120
7	9	112
8	11	111
9	12	109
10	13	108
11	14	106
12	15	104
13	16	101
14	17	99
15	18	97
16	19	95
17	21	95
18	22	94
19	23	94
20	24	92
21	25	89
22	26	87
23	26	84
24	27	82
25	28	80
26	29	78
27	29	76
28	30	74
29	31	73
30	32	73
31	33	71
32	34	70
33	35	68
34	36	66
35	36	65
36	37	64
37	38	63
38	39	61
39	40	60
40	41	59
41	41	57
42	42	56
43	44	56
44	45	55
45	46	54
46	47	53
47	48	52
48	49	51
49	50	50
50	50	48
51	51	47
52	52	46
53	53	45
54	53	44
55	54	43
56	55	42
57	56	41
58	58	40
59	58	39
60	59	38
61	60	36
62	60	35
63	61	34
64	62	33
65	62	32
66	63	31
67	63	30
68	64	29
69	65	28
70	66	27
71	67	26
72	68	25
73	69	24
74	69	23
75	70	22
76	71	21
77	72	20
78	73	19
79	73	18
80	74	17
81	75	16
82	76	15
83	77	14
84	79	13
85	79	13
86	80	12
87	81	11
88	82	10
89	83	9
90	84	8
91	85	7
92	86	6
93	86	5
94	87	4
95	88	3
96	89	2
97	91	1
98	92	0
99	92	0
